GenAge ID,symbol,aliases,name,entrez gene id,uniprot,why,band,location start,location end,orientation,acc promoter,acc orf,acc cds,references,orthologs
111,GTF2H2,BTF2 TFIIH BTF2P44 T-BTF2P44 p44,"general transcription factor IIH, polypeptide 2, 44kDa",2966,TF2H2_HUMAN,downstream,5q13.2,70415374,70447906,1,,NM_001515,NP_001506,"113,419,931,455,063,000,000,000","Gtf2h2;Mus musculus,Ssl1;Drosophila melanogaster,T16H12.4;Caenorhabditis elegans,Gtf2h2;Rattus norvegicus,gtf2h2;Danio rerio,SSL1;Saccharomyces cerevisiae"
112,XRCC5,KU80 KARP-1 Ku86 KUB2,X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining),7520,KU86_HUMAN,mammal,2q35,216109297,216206293,1,,NM_021141,NP_066964,###############################################################################################################################################################################################################################################################,"pku80;Schizosaccharomyces pombe,Xrcc5;Mus musculus,Ku80;Drosophila melanogaster,Xrcc5;Rattus norvegicus,xrcc5;Danio rerio"
113,PCNA,,proliferating cell nuclear antigen,5111,PCNA_HUMAN,functional,20pter-p12,5114953,5120001,-1,,NM_182649,NP_872590,"113,486,591,222,665,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","pcn1;Schizosaccharomyces pombe,Pcna-ps2;Mus musculus,Pcna;Mus musculus,Pcna;Rattus norvegicus,pcna;Danio rerio,CG10262;Drosophila melanogaster,PCNA;Drosophila melanogaster,pcn-1;Caenorhabditis elegans,POL30;Saccharomyces cerevisiae"
114,FEN1,FEN-1 MF1 RAD2,flap structure-specific endonuclease 1,2237,FEN1_HUMAN,downstream,11q12,61792637,61797242,1,HS_FEN1,NM_004111,NP_004102,"125,547,381,159,802,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","rad2;Schizosaccharomyces pombe,Fen1;Mus musculus,Fen1;Rattus norvegicus,crn-1;Caenorhabditis elegans,fen1;Danio rerio,RAD27;Saccharomyces cerevisiae"
115,FAS,CD95 APO-1 FAS1 APT1 TNFRSF6,Fas cell surface death receptor,355,TNR6_HUMAN,putative,10q24.1,88990531,89015785,1,,NM_000043,NP_000034,###############################################################################################################################################################################################################################################################,"Fas;Mus musculus,Fas;Rattus norvegicus,fas;Danio rerio"
116,TERF2,TRF2 TRBF2,telomeric repeat binding factor 2,7014,TERF2_HUMAN,functional,16q22.1,69355561,69385988,-1,,NM_005652,NP_005643,"106,697,439,476,899,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Terf2;Mus musculus,terfa;Danio rerio,Terf2;Rattus norvegicus"
117,XRCC6,D22S731 D22S671 KU70 ML8 G22P1,X-ray repair complementing defective repair in Chinese hamster cells 6,2547,KU70_HUMAN,functional,22q13.2,41621163,41664048,1,HS_G22P1,NM_001469,NP_001460,"12,377,759,246,684,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","pku70;Schizosaccharomyces pombe,Xrcc6;Mus musculus,Xrcc6;Rattus norvegicus,Irbp;Drosophila melanogaster,cku-70;Caenorhabditis elegans,xrcc6;Danio rerio,YKU70;Saccharomyces cerevisiae"
118,POLD1,CDC2 POLD,"polymerase (DNA directed), delta 1, catalytic subunit",5424,DPOD1_HUMAN,downstream,19q13.3,50384323,50418018,1,,NM_002691,NP_002682,"11,348,659,112,571,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","pol3;Schizosaccharomyces pombe,Pold1;Mus musculus,DNApol-delta;Drosophila melanogaster,Pold1;Rattus norvegicus,F10C2.4;Caenorhabditis elegans,pold1;Danio rerio,POL3;Saccharomyces cerevisiae"
119,BAX,BCL2L4,BCL2-associated X protein,581,BAX_HUMAN,"downstream,putative",19q13.3-q1,48954860,48961262,1,,NM_004324,NP_004315,"9,861,011,162,869,250,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","BX511080.1;Danio rerio,Bax;Mus musculus,Bax;Rattus norvegicus,baxa;Danio rerio,baxb;Danio rerio,baxa;Danio rerio"
120,RB1,RB PPP1R130 OSRC,retinoblastoma 1,5925,RB_HUMAN,cell,13q14.2,48303747,48481890,1,,NM_000321,NP_000312,"6320372,2673543,2673546,3162593,8885230,1321348,12581156,10557106,8278403,1641004,8119953,9537419,9353177,10950866,1689463,1406932,12379853,1830372,1655277,2895499,3823889,9491888,1881452,7736585,12607001,10199402,12757710,9468140,10958660,1710781,2594029,15688064,12486224,12882406,12530968,15716376,11035041,16481476,16892051,17664422,2673542,9219514,2163767,1901652,10594030,18800172","Rb1;Mus musculus,Rb1;Rattus norvegicus,Rbf;Drosophila melanogaster,Rbf2;Drosophila melanogaster,lin-35;Caenorhabditis elegans,rb1;Danio rerio"
121,EMD,STA LEMD5,emerin,2010,EMD_HUMAN,functional,Xq28,154379237,154381523,1,HS_EMD,NM_000117,NP_000108,"789,448,014,996,929,000,000,000,000,000,000,000,000","Emd;Mus musculus,Emd;Rattus norvegicus"
122,GRB2,NCKAP2,growth factor receptor-bound protein 2,2885,GRB2_HUMAN,downstream,17q24-q25,75318076,75405708,-1,,NM_002086,NP_002077,"756,456,998,656,971,000,000,000,000,000,000,000,000,000,000,000,000","Grb2;Mus musculus,drk;Drosophila melanogaster,Grb2;Rattus norvegicus,sem-5;Caenorhabditis elegans,grb2b;Danio rerio,grb2a;Danio rerio"
123,FOXO3,AF6q21 FOXO2 FKHRL1 FOXO3A,forkhead box O3,2309,FOXO3_HUMAN,"model,human_link",6q21,108560866,108684768,1,,NM_001455,NP_001446,"11884717,15767565,12239572,11154281,11884591,11242085,15604409,8247153,14501182,12882324,12845331,11381260,12763525,12801727,19896443,14604822,12855809,12750521,10102273,11607034,12424797,9360933,10428762,10783894,14976264,14506287,14980222,11964479,15295107,15308771,15190176,15383658,15192154,15565107,15895074,15888324,15820683,15905404,16186101,15930121,16288288,14713953,16631584,16631585,16890541,16288037,12908874,9789046,17446436,17254970,18765803,21113129,22546858,19196970,15084260,9353126,15175753,19652361,24035192,25470651,17895391,27071935","foxo3b;Danio rerio,foxo;Drosophila melanogaster,Foxo3;Mus musculus,daf-16;Caenorhabditis elegans,Foxo3;Rattus norvegicus,foxo3a;Danio rerio,HCM1;Saccharomyces cerevisiae"
124,FOXO1,FKH1 FKHR FOXO1A,forkhead box O1,2308,FOXO1_HUMAN,model,13q14.1,40555664,40666597,-1,,NM_002015,NP_002006,"15767565,12843179,11242085,14501182,12882324,12845331,11381260,12763525,12801727,12750521,11607034,12424797,9360933,10428762,10783894,14506287,15295107,15220471,14871929,15190176,15192154,15888324,15905404,12530968,16186101,16099946,16288288,15546000,16631584,16631585,9789046,18301748,17446436,17254970,20222901,19426753,20519497,21149440,12219087,9353126,15582274,15272020","foxo;Drosophila melanogaster,Foxo1;Mus musculus,Foxo1;Rattus norvegicus,daf-16;Caenorhabditis elegans,foxo1b;Danio rerio,foxo1a;Danio rerio,HCM1;Saccharomyces cerevisiae"
125,HSF1,HSTF1,heat shock transcription factor 1,3297,HSF1_HUMAN,model,8q24.3,144291588,144314722,1,,NM_005526,NP_005517,"936,388,812,470,898,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","hsf1;Schizosaccharomyces pombe,Hsf1;Mus musculus,Hsf;Drosophila melanogaster,hsf1;Danio rerio,Hsf1;Rattus norvegicus,hsf-1;Caenorhabditis elegans,HSF1;Saccharomyces cerevisiae"
126,XPA,XPAC XP1,"xeroderma pigmentosum, complementation group A",7507,XPA_HUMAN,"functional,putative",9q22.3,97674909,97697409,-1,,NM_000380,NP_000371,"119,509,989,353,177,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","rhp14;Schizosaccharomyces pombe,Xpa;Mus musculus,Xpac;Drosophila melanogaster,xpa-1;Caenorhabditis elegans,Xpa;Rattus norvegicus,xpa;Danio rerio,RAD14;Saccharomyces cerevisiae"
127,MSRA,,methionine sulfoxide reductase A,4482,MSRA_HUMAN,"mammal,model",8p23.1,10054269,10428891,1,,NM_012331,NP_036463,"11,606,777,156,802,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","mxr1;Schizosaccharomyces pombe,Msra;Rattus norvegicus,Eip71CD;Drosophila melanogaster,Msra;Mus musculus,msra-1;Caenorhabditis elegans,msra;Danio rerio,MXR1;Saccharomyces cerevisiae"
128,RECQL4,RecQ4,RecQ helicase-like 4,9401,RECQ4_HUMAN,functional,8q24.3,144511284,144517826,-1,,NM_004260,NP_004251,"9,117,983,128,035,430,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","RecQ4;Drosophila melanogaster,Recql4;Mus musculus,Recql4;Rattus norvegicus,RECQL4;Danio rerio,SGS1;Saccharomyces cerevisiae"
129,SOD2,,"superoxide dismutase 2, mitochondrial",6648,SODM_HUMAN,"mammal,model",6q25.3,159681723,159693321,-1,HS_SOD2,NM_000636,NP_000627,"12743125,11514315,12239572,10968795,12815103,14679299,12456885,11226230,7493016,9927656,9462746,12624725,8790408,11382788,15308771,14980699,12072463,7593237,15664623,15621215,12067840,16186101,16129095,15933380,16139868,16288288,16260109,16298100,16298747,16500693,16518719,16563232,16581216,16213688,10425186,16281056,15954861,17403371,18599449,17641201,17129739,15130751,21108731,19805130,19197346,19633237,9887369,20003469,9774481,21109198,15452146,16687508,19428448,19478076,15059885,19652361,25016531,26240345","SPBC16A3.14;Schizosaccharomyces pombe,Sod2;Mus musculus,Sod2;Rattus norvegicus,Sod2;Drosophila melanogaster,sod-2;Caenorhabditis elegans,sod-3;Caenorhabditis elegans,sod2;Danio rerio,SOD2;Saccharomyces cerevisiae"
130,SOD1,IPOA ALS ALS1,"superoxide dismutase 1, soluble",6647,SODC_HUMAN,model,21q22.11,31659622,31668930,1,HS_SOD1,NM_000454,NP_000445,"8108730,12743125,9620775,8673102,10719757,1383769,12871978,10968795,12815103,12675104,11166032,8643599,8610185,8209258,8351519,2960971,9228005,8650157,7492966,11382788,14993600,15295107,12072463,7593237,15664623,15897889,10381207,12067840,9858546,16260109,16298100,16298747,16500693,16518719,16563232,16581216,16213688,16636275,15130751,12060716,7588627,16723396,11114261,25003023","sod1;Schizosaccharomyces pombe,Sod1;Mus musculus,Sod1;Rattus norvegicus,sod1;Danio rerio,Sod;Drosophila melanogaster,sod-4;Caenorhabditis elegans,SOD1;Saccharomyces cerevisiae"
131,FOXM1,HFH-11 trident HNF-3 INS-1 MPP2 MPHOSPH2 TGT3 FKHL16,forkhead box M1,2305,FOXM1_HUMAN,functional,12p13,2857681,2877155,-1,,NM_021953,NP_068772,"157,675,651,157,299,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Foxm1;Mus musculus,Foxm1;Rattus norvegicus,fkh-9;Caenorhabditis elegans,foxm1;Danio rerio,HCM1;Saccharomyces cerevisiae"
132,COQ7,CLK-1 CAT5,"coenzyme Q7 homolog, ubiquinone (yeast)",10229,COQ7_HUMAN,model,16p12.3,19067595,19080095,1,,NM_016138,NP_057222,"10,501,970,115,110,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","coq7;Schizosaccharomyces pombe,Coq7;Rattus norvegicus,Coq7;Mus musculus,COQ7;Drosophila melanogaster,clk-1;Caenorhabditis elegans,coq7;Danio rerio,CAT5;Saccharomyces cerevisiae"
133,CACNA1A,Cav2.1 EA2 APCA HPCA FHM CACNL1A4 SCA6 MHP1 MHP,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",773,CAC1A_HUMAN,putative,19p13,13206442,13506460,-1,,NM_000068,NP_000059,"147,242,647,537,420,000,000,000,000,000,000,000,000,000,000,000,000","Cacna1a;Mus musculus,Cacna1a;Rattus norvegicus,cac;Drosophila melanogaster,unc-2;Caenorhabditis elegans,nalcn;Danio rerio,CCH1;Saccharomyces cerevisiae"
134,LRP2,gp330 DBS,low density lipoprotein receptor-related protein 2,4036,LRP2_HUMAN,downstream,2q31.1,169127109,169362612,-1,,NM_004525,NP_004516,"87,108,938,706,697","lrp2a;Danio rerio,Lrp2;Mus musculus,Lrp2;Rattus norvegicus,lrp-1;Caenorhabditis elegans,mgl;Drosophila melanogaster"
135,AIFM1,AIF CMTX4 PDCD8 NAMSD,"apoptosis-inducing factor, mitochondrion-associated, 1",9131,AIFM1_HUMAN,functional,Xq26.1,130129363,130165887,-1,,NM_004208,NP_004199,"12,114,629,123,530,200,000,000,000,000,000","Aifm1;Mus musculus,AIF;Drosophila melanogaster,Aifm1;Rattus norvegicus,wah-1;Caenorhabditis elegans,aifm1;Danio rerio"
136,UCHL1,PGP9.5 Uch-L1 PARK5,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase),7345,UCHL1_HUMAN,putative,4p14,41256881,41268429,1,HS_UCHL1,NM_004181,NP_004172,"977,410,010,471,497,000,000,000,000,000,000,000,000,000,000","uch1;Schizosaccharomyces pombe,Uchl1;Mus musculus,Uchl1;Rattus norvegicus,Uch;Drosophila melanogaster,ubh-1;Caenorhabditis elegans,ubh-3;Caenorhabditis elegans,uchl1;Danio rerio,YUH1;Saccharomyces cerevisiae,ubh-2;Caenorhabditis elegans"
137,APP,AD1,amyloid beta (A4) precursor protein,351,A4_HUMAN,putative,21q21.3,25880550,26170820,-1,HS_APP,NM_000484,NP_000475,"12708616,12150997,10611368,9796810,1302033,1925564,8346443,10959035,9697696,15176485,11528419,15174014,11567612,10206645,11959919,11901170,12398927,12470843,11520987,16554819,15339646,7704018,15778722,16751189,16641106,16815330,16914869,16923396,22120149,22801501,11978814,12761548,9114023,16687508,16723396,8705854","App;Mus musculus,App;Rattus norvegicus,appa;Danio rerio,appb;Danio rerio"
138,APOE,AD2,apolipoprotein E,348,APOE_HUMAN,human_link,19q13.2,44905748,44909395,1,HS_APOE,NM_000041,NP_000032,"8136829,10611368,14724064,14688198,8346443,1411543,3283935,7544347,15365129,14718482,12431986,7583250,15584785,15519757,15477624,15461196,15621215,11173885,10571241,10702411,15919593,16079201,7498401,15013661,18054318,19046569,11726538,21418511,22883908,23990795,10587578,24497847,25476875,17234687","Apoe;Mus musculus,Apoe;Rattus norvegicus,apoeb;Danio rerio,apoea;Danio rerio"
139,A2M,FWP007 S863-7 CPAMD5,alpha-2-macroglobulin,2,A2MG_HUMAN,putative,12p13.31,9067708,9115962,-1,,NM_000014,NP_000005,"1,095,903,575,443,470,000,000,000,000,000,000,000","CABZ01075618.1;Danio rerio,si:ch211-212c13.8;Danio rerio,zgc:171426;Danio rerio,A2m;Rattus norvegicus,Tep2;Drosophila melanogaster,Tep3;Drosophila melanogaster,Tep1;Drosophila melanogaster,Tep4;Drosophila melanogaster,Tep5;Drosophila melanogaster,Mcr;Drosophila melanogaster,A2m;Mus musculus,;Danio rerio,;Danio rerio,;Danio rerio,;Danio rerio,;Danio rerio,;Danio rerio,;Danio rerio,a2ml;Danio rerio,;Danio rerio,;Danio rerio,LOC100911545;Rattus norvegicus"
140,SNCG,BCSG1 SR persyn,"synuclein, gamma (breast cancer-specific protein 1)",6623,SYUG_HUMAN,upstream,10q23.2-q2,86958531,86963260,1,,NM_003087,NP_003078,"10,048,491,146,370,900,000,000,000,000,000,000,000","Sncg;Mus musculus,Sncg;Rattus norvegicus"
141,PRDX1,NKEFA PAGA,peroxiredoxin 1,5052,PRDX1_HUMAN,"functional,putative",1p34.1,45511035,45521938,-1,,NM_181697,NP_859048,"12,891,360,152,951,000,000,000,000,000,000","AABR07012795.1;Rattus norvegicus,Prdx1;Mus musculus,CG6888;Drosophila melanogaster,Jafrac1;Drosophila melanogaster,Prdx1;Rattus norvegicus,prdx-2;Caenorhabditis elegans,prdx1;Danio rerio,TSA2;Saccharomyces cerevisiae,TSA1;Saccharomyces cerevisiae"
142,PON1,ESA PON,paraoxonase 1,5444,PON1_HUMAN,putative,7q21.3,95298357,95324572,-1,,NM_000446,NP_000437,"1,472,406,512,889,840,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Pon1;Mus musculus,Pon1;Rattus norvegicus,poml-2;Caenorhabditis elegans,mec-6;Caenorhabditis elegans,pon2;Danio rerio,pon1;Danio rerio,pon3.2;Danio rerio,pon3.2;Danio rerio,poml-4;Caenorhabditis elegans,poml-3;Caenorhabditis elegans"
143,RELA,p65 NFKB3,v-rel avian reticuloendotheliosis viral oncogene homolog A,5970,TF65_HUMAN,functional,11q13,65653596,65662972,-1,HS_RELA,NM_021975,NP_068810,"8051093,9989825,10094826,12380689,12020944,11491660,11291593,10978675,9143018,11533489,10485710,10485711,11931769,12470896,10894547,11713531,12150997,7603567,12391591,10754263,11493922,12424381,16183991,15152190,18599449,22706308,19135889,21738489,9660950,23159929,23019125,16723383,23636330,23521863,15685170,15685173,12392794,9011632,12529332","Rela;Mus musculus,Dif;Drosophila melanogaster,dl;Drosophila melanogaster,Rela;Rattus norvegicus,rela;Danio rerio"
144,IL6,IL-6 BSF2 HGF HSF IFNB2,interleukin 6,3569,IL6_HUMAN,putative,7p21,22727147,22732002,1,HS_IL6_2,NM_000600,NP_000591,"1,263,394,011,491,660,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Il6;Mus musculus,Il6;Rattus norvegicus"
145,RGN,SMP30 RC,regucalcin,9104,RGN_HUMAN,putative,Xp11.3,47078355,47093314,1,,NM_004683,NP_004674,"1,236,820,110,360,680,000,000,000,000,000,000,000,000,000,000,000,000,000","Rgn;Mus musculus,Rgn;Rattus norvegicus,regucalcin;Drosophila melanogaster,smp-30;Drosophila melanogaster,rgn;Danio rerio"
146,ATP5O,OSCP ATPO,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",539,ATPO_HUMAN,model,21q22.11,33903453,33915854,-1,HS_ATP5O,NM_001697,NP_001688,"1,247,126,692,179,630,000,000","atp5;Schizosaccharomyces pombe,Atp5o;Mus musculus,Oscp;Drosophila melanogaster,atp-3;Caenorhabditis elegans,Atp5o;Rattus norvegicus,atp5o;Danio rerio,ATP5;Saccharomyces cerevisiae"
147,RAD52,,"RAD52 homolog, DNA repair protein",5893,RAD52_HUMAN,"cell,functional",12p13-p12.,912077,990053,-1,,NM_002879,NP_002870,"10,207,108,127,503,800,000,000,000,000,000","Rad52;Mus musculus,Rad52;Rattus norvegicus,rad52;Danio rerio,RAD52;Saccharomyces cerevisiae"
148,TOP3B,,topoisomerase (DNA) III beta,8940,TOP3B_HUMAN,"functional,putative",22q11.22,21957025,21982843,-1,,NM_003935,NP_003926,"113,317,801,125,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Top3b;Mus musculus,Top3beta;Drosophila melanogaster,Y48C3A.14;Caenorhabditis elegans,Top3b;Rattus norvegicus,top3b;Danio rerio,TOP3;Saccharomyces cerevisiae"
149,ERCC1,RAD10,excision repair cross-complementation group 1,2067,ERCC1_HUMAN,"mammal,functional",19q13.32,45413434,45423562,-1,HS_ERCC1,NM_202001,NP_973730,"9,197,240,819,717,470,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","swi10;Schizosaccharomyces pombe,Ercc1;Mus musculus,Ercc1;Drosophila melanogaster,ercc-1;Caenorhabditis elegans,Ercc1;Rattus norvegicus,RAD10;Saccharomyces cerevisiae,ercc1;Danio rerio"
150,SIRT1,SIR2L1,sirtuin 1,23411,SIRT1_HUMAN,"mammal,model,cell",10q21.3,67884669,67918390,1,,NM_012238,NP_036370,"11242085,10521401,12482959,12459580,15604409,12524341,12006491,11672523,12960381,14976264,15189148,11672522,14980222,15220471,15175761,15520384,15254550,15205477,12024027,16054100,16098828,9278054,16219030,16286010,16257164,16293764,16183991,16079181,15310905,16269335,16288288,15941577,16443777,16366736,16441846,16170353,12887892,16207712,16628003,16751189,16873059,16892051,15152190,16288037,16596166,16939484,16756498,17347648,18054318,16940753,18203716,18599449,17877786,17908559,18590691,17446436,17180656,16923962,22546858,22169038,20023410,19229036,19299583,19286518,20008932,18550784,19503100,20622856,21187328,18799131,20631301,20020036,20869593,18662547,18184747,24011076,23791176,21938067,23473037,21651395,19295512,20668205,15744310,18835033,19041753,17581637,24145446,23941528,25440059,24936455,25100619,18335035,25389371,17505061,17895433,18704159,17996922,27732836,27346580","Sirt1;Rattus norvegicus,Sir2;Drosophila melanogaster,Sirt1;Mus musculus,sir-2.1;Caenorhabditis elegans,sirt1;Danio rerio,SIR2;Saccharomyces cerevisiae,HST1;Saccharomyces cerevisiae"
151,HDAC1,HD1 GON-10 RPD3L1,histone deacetylase 1,3065,HDAC1_HUMAN,functional,1p34,32292107,32333623,1,HS_HDAC1,NM_004964,NP_004955,"124,595,801,051,285,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Gm10093;Mus musculus,Rpd3;Drosophila melanogaster,Hdac1l;Rattus norvegicus,hda-3;Caenorhabditis elegans,hda-1;Caenorhabditis elegans,hdac1;Danio rerio,Hdac1;Rattus norvegicus,Hdac1;Mus musculus,RPD3;Saccharomyces cerevisiae"
152,HSPA9,GRP75 PBP74 mot-2 mthsp75 HSPA9B,heat shock 70kDa protein 9 (mortalin),3313,GRP75_HUMAN,model,5q31.1,138554882,138575629,-1,HS_HSPA9B_1,NM_004134,NP_004125,"1,195,910,212,729,790,000,000,000,000,000","ssp1;Schizosaccharomyces pombe,Hspa9;Mus musculus,Hsc70-5;Drosophila melanogaster,hsp-6;Caenorhabditis elegans,Hspa9;Rattus norvegicus,hspa9;Danio rerio,SSC1;Saccharomyces cerevisiae"
153,GPX1,,glutathione peroxidase 1,2876,GPX1_HUMAN,functional,3p21.3,49357176,49358358,-1,HS_GPX1,NM_000581,NP_000572,###############################################################################################################################################################################################################################################################,"Gpx1;Mus musculus,Gpx1;Rattus norvegicus,gpx-5;Caenorhabditis elegans,gpx-3;Caenorhabditis elegans,gpx-4;Caenorhabditis elegans,GPX1;Saccharomyces cerevisiae,HYR1;Saccharomyces cerevisiae"
154,GSR,,glutathione reductase,2936,GSHR_HUMAN,functional,8p21.1,30678063,30727969,-1,,NM_000637,NP_000628,"129,564,151,050,657,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","pgr1;Schizosaccharomyces pombe,Gsr;Mus musculus,Gsr;Rattus norvegicus,gsr-1;Caenorhabditis elegans,gsr;Danio rerio,GLR1;Saccharomyces cerevisiae"
155,GSS,,glutathione synthetase,2937,GSHB_HUMAN,functional,20q11.2,34928433,34955798,-1,HS_GSS,NM_000178,NP_000169,"1,295,641,512,742,530,000,000,000,000,000,000,000,000,000,000","gsa1;Schizosaccharomyces pombe,Gss;Mus musculus,Gss;Rattus norvegicus,CG32495;Drosophila melanogaster,GS;Drosophila melanogaster,gss-1;Caenorhabditis elegans,CG32495;Drosophila melanogaster,GS;Drosophila melanogaster,gss;Danio rerio,GSH2;Saccharomyces cerevisiae"
156,GSTA4,,glutathione S-transferase alpha 4,2941,GSTA4_HUMAN,functional,6p12.1,52977948,52995380,-1,,NM_001512,NP_001503,"1,295,641,512,742,530,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","gst-6;Caenorhabditis elegans,gst-7;Caenorhabditis elegans,gst-20;Caenorhabditis elegans,gst-16;Caenorhabditis elegans,gst-19;Caenorhabditis elegans,gst-27;Caenorhabditis elegans,gst-40;Caenorhabditis elegans,gst-3;Caenorhabditis elegans,gst-2;Caenorhabditis elegans,gst-4;Caenorhabditis elegans,gst-33;Caenorhabditis elegans,gst-22;Caenorhabditis elegans,gst-8;Caenorhabditis elegans,gst-38;Caenorhabditis elegans,gst-24;Caenorhabditis elegans,gst-12;Caenorhabditis elegans,gst-14;Caenorhabditis elegans,gst-15;Caenorhabditis elegans,gst-17;Caenorhabditis elegans,gst-18;Caenorhabditis elegans,gst-5;Caenorhabditis elegans,gst-9;Caenorhabditis elegans,gst-36;Caenorhabditis elegans,gst-13;Caenorhabditis elegans,gst-37;Caenorhabditis elegans,gst-26;Caenorhabditis elegans,gst-28;Caenorhabditis elegans,gst-29;Caenorhabditis elegans,gst-39;Caenorhabditis elegans,gst-31;Caenorhabditis elegans,gst-32;Caenorhabditis elegans,gst-30;Caenorhabditis elegans,gst-21;Caenorhabditis elegans,gst-35;Caenorhabditis elegans,gst-34;Caenorhabditis elegans,gsta.1;Danio rerio,gsta.2;Danio rerio,gsta.2;Danio rerio"
157,GSTP1,GSTP FAEES3 GST3,glutathione S-transferase pi 1,2950,GSTP1_HUMAN,functional,11q13,67583595,67586653,1,HS_GSTP1,NM_000852,NP_000843,"129,564,151,274,253,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Gstp2;Mus musculus,Gstp1;Mus musculus,Gstp1;Rattus norvegicus,gstp1;Danio rerio,gst-1;Caenorhabditis elegans,gst-41;Caenorhabditis elegans,gst-23;Caenorhabditis elegans,gstp2;Danio rerio,gst-25;Caenorhabditis elegans"
158,MT-CO1,COX1 COI MTCO1,mitochondrially encoded cytochrome c oxidase I,4512,COX1_HUMAN,"cell,functional",,7444,7518,0,,NM_173704,NP_776052,"1,282,664,110,330,140,000,000,000,000,000,000,000","cox1;Schizosaccharomyces pombe,mt-Co1;Mus musculus,Mt-co1;Rattus norvegicus,mt-co1;Danio rerio,COX1;Saccharomyces cerevisiae,ctc-1;Caenorhabditis elegans,mt:CoI;Drosophila melanogaster"
159,HSPD1,GroEL HSP60 SPG13,heat shock 60kDa protein 1 (chaperonin),3329,CH60_HUMAN,functional,2q33.1,197486584,197499916,-1,HS_HSPD1,NM_002156,NP_002147,"11,518,492,264,552,400,000,000,000,000,000,000,000,000,000,000","hsp60;Schizosaccharomyces pombe,Hspd1;Mus musculus,Hsp60;Drosophila melanogaster,Hsp60C;Drosophila melanogaster,Hsp60D;Drosophila melanogaster,Hsp60B;Drosophila melanogaster,Hspd1;Rattus norvegicus,hsp-60;Caenorhabditis elegans,hspd1;Danio rerio,HSP60;Saccharomyces cerevisiae"
